year,urim,status_code,date,time,mimetype,redirects_to,redirect_type
2016,https://arquivo.pt/wayback/20160514090713/https://instagram.com/instagram,301,5/14/2016,9:07:13,text/plain,https://arquivo.pt/wayback/20160514100911/https://www.instagram.com/instagram/,2xx
2016,https://arquivo.pt/wayback/20160514093723/https://www.instagram.com/instagram,301,5/14/2016,9:37:23,,https://arquivo.pt/wayback/20160514100911/https://www.instagram.com/instagram/,2xx
2016,https://arquivo.pt/wayback/20160514100911/https://www.instagram.com/instagram/,200,5/14/2016,10:09:11,,,
2018,https://arquivo.pt/wayback/20181019172642/http://instagram.com/instagram/,301,10/19/2018,17:26:42,text/plain,,login
2018,https://arquivo.pt/wayback/20181028085435/http://instagram.com/instagram/,301,10/28/2018,8:54:35,text/plain,,login
2019,https://arquivo.pt/wayback/20190325064033/http://instagram.com/instagram/,301,3/25/2019,6:40:33,text/plain,,login
2019,https://arquivo.pt/wayback/20190902022207/https://instagram.com/instagram/,302,9/2/2019,2:22:07,,,login
2019,https://arquivo.pt/wayback/20191105121622/https://instagram.com/instagram,301,11/5/2019,12:16:22,,,login
2019,https://arquivo.pt/wayback/20191106013713/https://www.instagram.com/instagram,301,11/6/2019,1:37:13,,,login
2019,https://arquivo.pt/wayback/20191115063636/http://instagram.com/instagram,301,11/15/2019,6:36:36,text/plain,,login
2019,https://arquivo.pt/wayback/20191115063640/https://instagram.com/instagram,301,11/15/2019,6:36:40,,,login
2019,https://arquivo.pt/wayback/20191118144516/https://www.instagram.com/instagram,301,11/18/2019,14:45:16,,,login
2019,https://arquivo.pt/wayback/20191118173035/https://www.instagram.com/instagram/,302,11/18/2019,17:30:35,,,login
2020,https://arquivo.pt/wayback/20200205020937/http://instagram.com/instagram,301,2/5/2020,2:09:37,text/plain,,
2020,https://arquivo.pt/wayback/20200209112045/https://www.instagram.com/instagram,301,2/9/2020,11:20:45,,,
2020,https://arquivo.pt/wayback/20200306214205/https://instagram.com/instagram/,302,3/6/2020,21:42:05,,,login
2020,https://arquivo.pt/wayback/20200325084525/https://instagram.com/instagram/,301,3/25/2020,8:45:25,,,login
2020,https://arquivo.pt/wayback/20200401023035/https://instagram.com/instagram,301,4/1/2020,2:30:35,,,login
